Image type	Feature Class	Feature Name	ROI_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	dbe41e21d5511605beff775ca96f3d29dbec8ed1
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6249999999999999, 0.6249999999999999, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	71.61943580364358
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1309.0
diagnostics	Mask-original	Hash	b082dfbc82d28b5d7026a5c32ce26b69c4ac5217
diagnostics	Mask-original	Spacing	(0.6249999999999999, 0.6249999999999999, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(336, 258, 54, 76, 95, 9)
diagnostics	Mask-original	VoxelNum	24977
diagnostics	Mask-original	VolumeNum	21
diagnostics	Mask-original	CenterOfMassIndex	(374.55931456940385, 309.6431116627297, 57.721703967650235)
diagnostics	Mask-original	CenterOfMass	(-82.4975716058774, -17.25394478920606, 12.151407935300526)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(60, 72, 29)
diagnostics	Image-interpolated	Mean	160.39702266922095
diagnostics	Image-interpolated	Minimum	-18.0
diagnostics	Image-interpolated	Maximum	635.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(60, 72, 29)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 47, 60, 18)
diagnostics	Mask-interpolated	VoxelNum	19496
diagnostics	Mask-interpolated	VolumeNum	12
diagnostics	Mask-interpolated	CenterOfMassIndex	(29.770517029134183, 38.29852277390234, 13.950759130077964)
diagnostics	Mask-interpolated	CenterOfMass	(-82.35601702913421, -17.213022773902374, 12.15875913007802)
diagnostics	Mask-interpolated	Mean	358.24092121460814
diagnostics	Mask-interpolated	Minimum	-11.0
diagnostics	Mask-interpolated	Maximum	635.0
original	shape	Elongation	0.5952017556186325
original	shape	Flatness	0.35242503643894707
original	shape	LeastAxisLength	19.818537840348238
original	shape	MajorAxisLength	56.23476141367027
original	shape	Maximum2DDiameterColumn	45.35416188179427
original	shape	Maximum2DDiameterRow	48.104053883222775
original	shape	Maximum2DDiameterSlice	63.324560795950255
original	shape	Maximum3DDiameter	68.47627326307996
original	shape	MeshVolume	19501.666666666668
original	shape	MinorAxisLength	33.47102872021148
original	shape	Sphericity	0.37355220734477035
original	shape	SurfaceArea	9379.520496351657
original	shape	SurfaceVolumeRatio	0.48095994340748605
original	shape	VoxelVolume	19496.0
original	firstorder	10Percentile	256.0
original	firstorder	90Percentile	460.0
original	firstorder	Energy	2644778529.0
