Image type	Feature Class	Feature Name	ROI_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	76a61aea9daaf650d1fae843be82c986f8382e49
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6836, 0.6836, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	64.20763841168633
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1954.0
diagnostics	Mask-original	Hash	719ac5d65c82be473ebdef94cb9238e70e4cb061
diagnostics	Mask-original	Spacing	(0.6836, 0.6836, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(92, 269, 57, 45, 58, 16)
diagnostics	Mask-original	VoxelNum	17350
diagnostics	Mask-original	VolumeNum	11
diagnostics	Mask-original	CenterOfMassIndex	(115.74086455331413, 299.70772334293946, 64.91406340057637)
diagnostics	Mask-original	CenterOfMass	(83.83054499135446, -27.2951996772334, 8.987126801152726)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(43, 52, 43)
diagnostics	Image-interpolated	Mean	163.08438033032408
diagnostics	Image-interpolated	Minimum	-7.0
diagnostics	Image-interpolated	Maximum	725.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(43, 52, 43)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 31, 40, 32)
diagnostics	Mask-interpolated	VoxelNum	16180
diagnostics	Mask-interpolated	VolumeNum	10
diagnostics	Mask-interpolated	CenterOfMassIndex	(21.967119901112486, 26.66625463535229, 22.348207663782446)
diagnostics	Mask-interpolated	CenterOfMass	(83.8256800988875, -27.239454635352274, 9.007207663782438)
diagnostics	Mask-interpolated	Mean	363.36372064276884
diagnostics	Mask-interpolated	Minimum	26.0
diagnostics	Mask-interpolated	Maximum	725.0
original	shape	Elongation	0.9239087575897919
original	shape	Flatness	0.7668882996158338
original	shape	LeastAxisLength	24.78169449718523
original	shape	MajorAxisLength	32.314607628776464
original	shape	Maximum2DDiameterColumn	37.53664875824692
original	shape	Maximum2DDiameterRow	43.829214001622255
original	shape	Maximum2DDiameterSlice	41.0
original	shape	Maximum3DDiameter	45.58508528016593
original	shape	MeshVolume	16084.125
original	shape	MinorAxisLength	29.855748986304473
original	shape	Sphericity	0.5557692444909035
original	shape	SurfaceArea	5544.400249460283
original	shape	SurfaceVolumeRatio	0.3447125814714996
original	shape	VoxelVolume	16180.0
original	firstorder	10Percentile	211.0
original	firstorder	90Percentile	484.0
original	firstorder	Energy	2317091081.0
original	firstorder	Entropy	4.053466995679323
